Prescale	Path	Group	Total			HLTPhysics1			HLTPhysics2			HLTPhysics3			HLTPhysics4		
	Total HLT rate		426.81	±	1.05	106.97	±	0.53	106.42	±	0.53	106.95	±	0.53	106.48	±	0.53
1	HLT_Ele23_WPLoose_Gsf_v3	SMP,TOP	74.88	±	0.44	18.53	±	0.22	19.01	±	0.22	18.78	±	0.22	18.55	±	0.22
1	HLT_Ele27_WPLoose_Gsf_v1	TOP	50.05	±	0.36	12.34	±	0.18	12.74	±	0.18	12.60	±	0.18	12.36	±	0.18
1	HLT_DoubleMu3_Mass10_v1	PPD,EXO	45.42	±	0.34	11.37	±	0.17	11.41	±	0.17	11.23	±	0.17	11.41	±	0.17
1	HLT_Ele22_eta2p1_WPLoose_Gsf_v3	Egamma	44.86	±	0.34	11.11	±	0.17	11.40	±	0.17	11.28	±	0.17	11.07	±	0.17
1	HLT_Ele27_eta2p1_WPLoose_Gsf_v2	Egamma,HIG,SMP	30.94	±	0.28	7.57	±	0.14	7.91	±	0.14	7.84	±	0.14	7.62	±	0.14
1	HLT_Ele22_eta2p1_WPTight_Gsf_v3	HIG,TAU	29.50	±	0.28	7.19	±	0.14	7.64	±	0.14	7.39	±	0.14	7.27	±	0.14
1	HLT_IsoMu18_v2	SMP,TOP,Muons	26.69	±	0.26	6.87	±	0.13	6.57	±	0.13	6.50	±	0.13	6.76	±	0.13
1	HLT_IsoTkMu18_v2	SMP,Muons	24.33	±	0.25	6.31	±	0.13	5.93	±	0.12	5.90	±	0.12	6.18	±	0.13
11	HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v2	HIG	21.64	±	0.24	5.58	±	0.12	5.32	±	0.12	5.35	±	0.12	5.39	±	0.12
1	HLT_IsoMu20_v3	SMP,TOP,Muons	21.51	±	0.24	5.49	±	0.12	5.31	±	0.12	5.18	±	0.12	5.53	±	0.12
1	HLT_OldIsoMu18_v1	SMP,TOP	21.46	±	0.24	5.55	±	0.12	5.30	±	0.12	5.15	±	0.12	5.46	±	0.12
1	HLT_Ele27_eta2p1_WPTight_Gsf_v2	Egamma	20.79	±	0.23	5.03	±	0.11	5.43	±	0.12	5.25	±	0.12	5.07	±	0.11
1	HLT_OldIsoTkMu18_v2	SMP,TOP	19.93	±	0.23	5.18	±	0.12	4.86	±	0.11	4.80	±	0.11	5.09	±	0.11
1	HLT_IsoTkMu20_v4	SMP,TOP	19.75	±	0.23	5.07	±	0.11	4.82	±	0.11	4.77	±	0.11	5.10	±	0.12
1	HLT_IsoMu22_v2	TOP	17.90	±	0.22	4.60	±	0.11	4.40	±	0.11	4.28	±	0.11	4.62	±	0.11
1	HLT_Mu17_v2	Muons	17.63	±	0.21	4.37	±	0.11	4.43	±	0.11	4.37	±	0.11	4.45	±	0.11
1	HLT_BTagMu_DiJet70_Mu5_v2	BTV	16.73	±	0.21	4.12	±	0.10	4.20	±	0.10	4.01	±	0.10	4.39	±	0.11
1	HLT_IsoTkMu22_v2	SMP,Muons	16.68	±	0.21	4.31	±	0.11	4.07	±	0.10	3.99	±	0.10	4.31	±	0.11
1	HLT_HT550to650_v1	EXO,PPD	16.02	±	0.20	4.07	±	0.10	4.10	±	0.10	3.97	±	0.10	3.88	±	0.10
1	HLT_HT500to550_v1	EXO,PPD	15.01	±	0.20	3.95	±	0.10	3.72	±	0.10	3.78	±	0.10	3.56	±	0.10
1	HLT_HT650_v2	EXO,PPD	14.06	±	0.19	3.58	±	0.10	3.44	±	0.09	3.39	±	0.09	3.66	±	0.10
1	HLT_HT470to500_v1	EXO,PPD	13.78	±	0.19	3.54	±	0.10	3.50	±	0.10	3.36	±	0.09	3.38	±	0.09
1	HLT_Ele32_eta2p1_WPTight_Gsf_v2	HIG,Egamma	12.88	±	0.18	3.06	±	0.09	3.33	±	0.09	3.30	±	0.09	3.19	±	0.09
1	HLT_IsoMu27_v3	SMP,HIG	12.59	±	0.18	3.26	±	0.09	3.06	±	0.09	3.04	±	0.09	3.23	±	0.09
1	HLT_IsoTkMu27_v3	SMP,HIG	12.00	±	0.18	3.11	±	0.09	2.91	±	0.09	2.91	±	0.09	3.06	±	0.09
1	HLT_Dimuon10_Jpsi_Barrel_v2	BPH	11.84	±	0.18	2.93	±	0.09	2.89	±	0.09	3.00	±	0.09	3.02	±	0.09
1	HLT_HT450to470_v1	EXO,PPD	11.60	±	0.17	2.92	±	0.09	2.91	±	0.09	2.95	±	0.09	2.83	±	0.09
1	HLT_Mu17_TrkIsoVVL_v2	SUSY,HIG,Muons	10.32	±	0.16	2.59	±	0.08	2.59	±	0.08	2.55	±	0.08	2.59	±	0.08
1	HLT_Ele30WP60_SC4_Mass55_v3	Egamma	9.50	±	0.16	2.25	±	0.08	2.41	±	0.08	2.50	±	0.08	2.35	±	0.08
1	HLT_BTagMu_DiJet20_Mu5_v2	BTV	8.56	±	0.15	2.18	±	0.08	2.12	±	0.07	2.07	±	0.07	2.20	±	0.08
1	HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45_v2	B2G	8.29	±	0.15	2.12	±	0.07	2.12	±	0.07	2.00	±	0.07	2.05	±	0.07
