file1:	frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
file2:	frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
	file1						file2			
path	prescale1		rate1			prescale2		rate2				bias
HLT_Mu12_Photon25_CaloIdL_v3	1400	0.00	 ±	0.00		1400	0.01	 ±	0.00		100.00%	±	0.00%
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v4	1	0.00	 ±	0.00		1	1.59	 ±	0.06		100.00%	±	3.77%
HLT_JetE70_NoBPTX3BX_NoHalo_v2	1	0.70	 ±	0.04		1	0.00	 ±	0.00		100.00%	±	0.00%
HLT_JetE50_NoBPTX3BX_NoHalo_v2	1	1.30	 ±	0.06		1	0.00	 ±	0.00		100.00%	±	0.00%
HLT_JetE30_NoBPTX_v2	17	0.01	 ±	0.00		17	0.00	 ±	0.00		100.00%	±	0.00%
HLT_L2Mu10_NoVertex_NoBPTX_v2	30	2.95	 ±	0.10		30	0.00	 ±	0.00		100.00%	±	0.00%
HLT_IsoMu17_eta2p1_v3	30	0.00	 ±	0.00		30	0.99	 ±	0.05		100.00%	±	5.05%
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v2	30	2.76	 ±	0.09		30	0.00	 ±	0.00		100.00%	±	0.00%
HLT_JetE30_NoBPTX3BX_NoHalo_v2	1	0.08	 ±	0.02		1	0.00	 ±	0.00		100.00%	±	0.00%
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_NoHalo_v2	1	16.53	 ±	0.22		1	0.00	 ±	0.00		100.00%	±	0.00%
HLT_IsoMu20_eta2p1_LooseIsoPFTau20_v3	1	0.00	 ±	0.00		1	1.24	 ±	0.06		100.00%	±	4.84%
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo_v2	1	18.91	 ±	0.24		1	0.00	 ±	0.00		100.00%	±	0.00%
HLT_ZeroBias_v2	200	62.44	 ±	0.42		200	0.07	 ±	0.01		99.89%	±	0.02%
HLT_DiPFJetAve40_v2	5	15.78	 ±	0.22		5	0.52	 ±	0.04		96.70%	±	0.26%
HLT_PFJet40_v4	300	0.57	 ±	0.04		300	0.02	 ±	0.01		96.49%	±	1.77%
HLT_DiPFJetAve60_v2	1	17.05	 ±	0.22		1	1.34	 ±	0.06		92.14%	±	0.37%
HLT_Dimuon0_Jpsi_Muon_v2	1	1.48	 ±	0.06		1	0.27	 ±	0.03		81.76%	±	2.16%
HLT_Dimuon0_Upsilon_Muon_v2	1	0.92	 ±	0.05		1	0.17	 ±	0.02		81.52%	±	2.39%
HLT_Mu8_TrkIsoVVL_v3	30	4.17	 ±	0.11		30	0.97	 ±	0.05		76.74%	±	1.35%
HLT_QuadMuon0_Dimuon0_Jpsi_v2	1	0.04	 ±	0.00		1	0.01	 ±	0.00		75.00%	±	0.00%
HLT_Mu8_v3	60	3.15	 ±	0.10		60	0.85	 ±	0.05		73.02%	±	1.80%
HLT_BTagMu_DiJet20_Mu5_v2	1	26.64	 ±	0.28		1	8.56	 ±	0.15		67.87%	±	0.66%
HLT_QuadMuon0_Dimuon0_Upsilon_v2	1	0.03	 ±	0.01		1	0.01	 ±	0.00		66.67%	±	11.11%
HLT_Mu10_CentralPFJet30_BTagCSV0p54PF_v3	22	0.97	 ±	0.06		22	0.35	 ±	0.03		63.92%	±	3.81%
HLT_Mu7p5_L2Mu2_Upsilon_v2	1	0.42	 ±	0.04		1	0.16	 ±	0.02		61.90%	±	5.99%
HLT_Mu7p5_Track2_Upsilon_v2	1	0.53	 ±	0.04		1	0.21	 ±	0.02		60.38%	±	4.81%
HLT_Dimuon6_Jpsi_NoVertexing_v2	1	0.97	 ±	0.06		1	0.39	 ±	0.03		59.79%	±	3.97%
HLT_PFJet60_v4	12	0.57	 ±	0.04		12	0.24	 ±	0.02		57.89%	±	4.59%
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v3	1	0.49	 ±	0.04		1	0.21	 ±	0.02		57.14%	±	5.38%
HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV0p54PF_v3	1	0.82	 ±	0.05		1	0.37	 ±	0.03		54.88%	±	4.58%
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v2	15	0.26	 ±	0.03		15	0.12	 ±	0.02		53.85%	±	9.36%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2	15	0.27	 ±	0.03		15	0.13	 ±	0.02		51.85%	±	9.14%
HLT_DoubleMu28NoFiltersNoVtxDisplaced_v2	1	0.02	 ±	0.01		1	0.01	 ±	0.01		50.00%	±	55.90%
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v1	1	0.06	 ±	0.02		1	0.03	 ±	0.01		50.00%	±	23.57%
HLT_DoubleMu3_Mass10_v1	1	90.76	 ±	0.50		1	45.42	 ±	0.34		49.96%	±	0.47%
HLT_Mu17_TkMu8_DZ_v2	15	0.47	 ±	0.04		15	0.24	 ±	0.02		48.94%	±	6.08%
HLT_TripleMu_12_10_5_v2	1	0.37	 ±	0.04		1	0.19	 ±	0.02		48.65%	±	7.75%
HLT_Mu17_Mu8_DZ_v2	15	0.46	 ±	0.04		15	0.24	 ±	0.03		47.83%	±	7.94%
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2	1	3.15	 ±	0.10		1	1.70	 ±	0.07		46.03%	±	2.81%
HLT_L1SingleMu16_v1	2000	1.44	 ±	0.06		2000	0.78	 ±	0.04		45.83%	±	3.58%
HLT_Dimuon13_Upsilon_v2	1	1.98	 ±	0.08		1	1.09	 ±	0.05		44.95%	±	3.37%
HLT_DiPFJetAve60_HFJEC_v3	1	0.58	 ±	0.04		1	0.32	 ±	0.03		44.83%	±	6.42%
HLT_PFJet80_v4	5	1.02	 ±	0.06		5	0.57	 ±	0.04		44.12%	±	5.12%
HLT_Mu7p5_Track2_Jpsi_v2	1	1.54	 ±	0.06		1	0.87	 ±	0.05		43.51%	±	3.92%
HLT_Mu7p5_Track7_Jpsi_v2	1	0.60	 ±	0.04		1	0.34	 ±	0.03		43.33%	±	6.27%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2	1	3.16	 ±	0.10		1	1.80	 ±	0.07		43.04%	±	2.86%
HLT_Mu7p5_Track3p5_Jpsi_v2	1	1.38	 ±	0.06		1	0.79	 ±	0.05		42.75%	±	4.40%
HLT_DoubleMu33NoFiltersNoVtx_v2	1	0.92	 ±	0.05		1	0.53	 ±	0.04		42.39%	±	5.36%
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3	1	1.11	 ±	0.06		1	0.64	 ±	0.04		42.34%	±	4.76%
HLT_Mu16_TkMu0_dEta18_Onia_v2	1	3.79	 ±	0.10		1	2.22	 ±	0.08		41.42%	±	2.62%
HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx_v2	1	0.17	 ±	0.02		1	0.10	 ±	0.02		41.18%	±	13.65%
HLT_Mu17_Mu8_SameSign_DZ_v1	1	1.19	 ±	0.06		1	0.70	 ±	0.04		41.18%	±	4.48%
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v3	1	3.13	 ±	0.10		1	1.87	 ±	0.07		40.26%	±	2.94%
HLT_Mu25_TkMu0_dEta18_Onia_v2	1	0.87	 ±	0.05		1	0.52	 ±	0.04		40.23%	±	5.74%
HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v2	20	0.25	 ±	0.03		20	0.15	 ±	0.02		40.00%	±	10.76%
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v2	1	0.15	 ±	0.02		1	0.09	 ±	0.02		40.00%	±	15.55%
HLT_Dimuon13_PsiPrime_v2	1	1.15	 ±	0.06		1	0.69	 ±	0.04		40.00%	±	4.68%
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v3	1	1.66	 ±	0.07		1	1.00	 ±	0.05		39.76%	±	3.94%
HLT_DoubleMu8_Mass8_PFHT250_v1	1	0.61	 ±	0.04		1	0.37	 ±	0.03		39.34%	±	6.33%
HLT_DoubleMu38NoFiltersNoVtx_v2	1	0.56	 ±	0.04		1	0.34	 ±	0.03		39.29%	±	6.89%
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3	1	0.56	 ±	0.04		1	0.34	 ±	0.03		39.29%	±	6.89%
HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v2	1	0.69	 ±	0.04		1	0.42	 ±	0.03		39.13%	±	5.60%
HLT_Mu7p5_L2Mu2_Jpsi_v2	1	0.59	 ±	0.04		1	0.36	 ±	0.03		38.98%	±	6.55%
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v3	1	0.18	 ±	0.02		1	0.11	 ±	0.02		38.89%	±	13.02%
HLT_BTagMu_DiJet40_Mu5_v2	1	6.32	 ±	0.14		1	3.87	 ±	0.10		38.77%	±	2.08%
HLT_Mu16_TkMu0_dEta18_Phi_v2	1	1.14	 ±	0.06		1	0.70	 ±	0.04		38.60%	±	4.77%
HLT_OldIsoTkMu18_v2	1	32.45	 ±	0.30		1	19.93	 ±	0.23		38.58%	±	0.91%
HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v2	1	0.34	 ±	0.04		1	0.21	 ±	0.02		38.24%	±	9.35%
HLT_Mu20_Mu10_v1	7	0.66	 ±	0.04		7	0.41	 ±	0.03		37.88%	±	5.90%
HLT_DoubleIsoMu17_eta2p1_v3	1	1.14	 ±	0.06		1	0.71	 ±	0.04		37.72%	±	4.80%
HLT_Mu17_Mu8_v1	14	0.59	 ±	0.04		14	0.37	 ±	0.03		37.29%	±	6.63%
HLT_Mu20_Mu10_SameSign_DZ_v1	1	0.51	 ±	0.04		1	0.32	 ±	0.03		37.25%	±	7.67%
HLT_IsoTkMu20_v4	1	31.46	 ±	0.30		1	19.75	 ±	0.23		37.22%	±	0.94%
HLT_OldIsoMu18_v1	1	34.18	 ±	0.32		1	21.46	 ±	0.24		37.21%	±	0.92%
HLT_IsoTkMu18_v2	1	38.71	 ±	0.33		1	24.33	 ±	0.25		37.15%	±	0.84%
HLT_Dimuon16_Jpsi_v2	1	5.84	 ±	0.13		1	3.69	 ±	0.10		36.82%	±	2.22%
HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v2	1	0.30	 ±	0.03		1	0.19	 ±	0.02		36.67%	±	9.20%
HLT_IsoTkMu22_v2	1	26.20	 ±	0.28		1	16.68	 ±	0.21		36.34%	±	1.05%
HLT_DoubleMu4_3_Bs_v2	1	2.82	 ±	0.09		1	1.81	 ±	0.07		35.82%	±	3.22%
HLT_IsoTkMu27_v3	1	18.68	 ±	0.23		1	12.00	 ±	0.18		35.76%	±	1.25%
HLT_Mu16_eta2p1_MET30_v1	30	1.15	 ±	0.06		30	0.74	 ±	0.04		35.65%	±	4.83%
HLT_IsoMu20_v3	1	33.42	 ±	0.30		1	21.51	 ±	0.24		35.64%	±	0.92%
HLT_IsoMu18_v2	1	41.29	 ±	0.34		1	26.69	 ±	0.26		35.36%	±	0.82%
HLT_IsoMu22_v2	1	27.50	 ±	0.28		1	17.90	 ±	0.22		34.91%	±	1.04%
HLT_DoubleMu8_Mass8_PFHT300_v4	1	0.43	 ±	0.04		1	0.28	 ±	0.03		34.88%	±	9.24%
HLT_TkMu27_v2	70	0.75	 ±	0.05		70	0.49	 ±	0.04		34.67%	±	6.89%
HLT_IsoMu27_v3	1	19.23	 ±	0.24		1	12.59	 ±	0.18		34.53%	±	1.24%
HLT_L2Mu10_v1	200	5.45	 ±	0.12		200	3.60	 ±	0.10		33.94%	±	2.34%
HLT_IsoMu18_TriCentralPFJet50_40_30_v2	1	0.59	 ±	0.04		1	0.39	 ±	0.03		33.90%	±	6.78%
HLT_Mu17_TrkIsoVVL_v2	1	15.54	 ±	0.21		1	10.32	 ±	0.16		33.59%	±	1.37%
HLT_Dimuon20_Jpsi_v2	1	2.83	 ±	0.09		1	1.88	 ±	0.07		33.57%	±	3.25%
HLT_DoubleMu23NoFiltersNoVtxDisplaced_v2	1	0.09	 ±	0.02		1	0.06	 ±	0.01		33.33%	±	18.52%
HLT_TkMu24_eta2p1_v2	100	0.78	 ±	0.04		100	0.52	 ±	0.04		33.33%	±	6.16%
HLT_IsoMu22_CentralPFJet30_BTagCSV07_v2	1	1.65	 ±	0.06		1	1.10	 ±	0.05		33.33%	±	3.88%
HLT_IsoMu18_CentralPFJet30_BTagCSV07_v2	1	2.45	 ±	0.08		1	1.64	 ±	0.07		33.06%	±	3.60%
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v3	125	3.88	 ±	0.10		125	2.60	 ±	0.08		32.99%	±	2.69%
HLT_Mu24_eta2p1_v2	100	0.83	 ±	0.04		100	0.56	 ±	0.04		32.53%	±	5.81%
HLT_DoubleMu4_3_Jpsi_Displaced_v2	1	8.08	 ±	0.15		1	5.47	 ±	0.12		32.30%	±	1.95%
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v2	1	0.31	 ±	0.03		1	0.21	 ±	0.02		32.26%	±	9.20%
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v2	80	0.31	 ±	0.03		80	0.21	 ±	0.02		32.26%	±	9.20%
HLT_Mu17_Photon35_CaloIdL_L1ISO_v3	1	1.20	 ±	0.06		1	0.82	 ±	0.05		31.67%	±	5.39%
HLT_Mu27_v2	70	0.79	 ±	0.05		70	0.54	 ±	0.04		31.65%	±	6.66%
HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v1	1	0.70	 ±	0.04		1	0.48	 ±	0.04		31.43%	±	6.93%
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v3	1	0.32	 ±	0.04		1	0.22	 ±	0.02		31.25%	±	10.63%
HLT_Mu50_v2	1	5.38	 ±	0.12		1	3.71	 ±	0.10		31.04%	±	2.41%
HLT_Mu17_v2	1	25.53	 ±	0.26		1	17.63	 ±	0.21		30.94%	±	1.08%
