Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|4|1|1,1,1,73.63,+/-,0.06,73.61,+/-,0.87,73.61,+/-,0.87,0.04%,+/-,1.18%
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,49.34,+/-,0.05,49.41,+/-,0.71,49.41,+/-,0.71,0.14%,+/-,1.44%
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,40.20,+/-,0.04,44.08,+/-,0.67,44.08,+/-,0.67,8.78%,+/-,1.39%
HLT_IsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,31.32,+/-,0.04,36.63,+/-,0.61,36.63,+/-,0.61,14.50%,+/-,1.43%
HLT_Ele27_eta2p1_WPLoose_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,30.44,+/-,0.04,30.74,+/-,0.56,30.74,+/-,0.56,0.97%,+/-,1.81%
HLT_Ele22_eta2p1_WPTight_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,26.71,+/-,0.03,29.09,+/-,0.55,29.09,+/-,0.55,8.17%,+/-,1.73%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,26.04,+/-,0.03,29.47,+/-,0.55,29.47,+/-,0.55,11.62%,+/-,1.65%
HLT_Ele17_CaloIdL_TrackIdL_IsoVL,L1_SingleEG15,4,L1_SingleEG15, 4,11,11,25.15,+/-,0.03,275.39,+/-,1.68,25.04,+/-,0.15,0.46%,+/-,0.62%
HLT_IsoTkMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,24.82,+/-,0.03,27.87,+/-,0.53,27.87,+/-,0.53,10.96%,+/-,1.71%
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_WdEtaPhi2,50,L1_Mu3_JetC16_WdEtaPhi2, 50,1,1,23.65,+/-,0.03,24.50,+/-,0.50,24.50,+/-,0.50,3.47%,+/-,1.98%
HLT_Mu17,L1_SingleMu12,10,L1_SingleMu12, 10,1,1,23.04,+/-,0.03,22.93,+/-,0.48,22.93,+/-,0.48,0.48%,+/-,2.10%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,21.86,+/-,0.03,24.19,+/-,0.50,24.19,+/-,0.50,9.62%,+/-,1.86%
HLT_Ele27_eta2p1_WPTight_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,20.42,+/-,0.03,20.65,+/-,0.46,20.65,+/-,0.46,1.14%,+/-,2.21%
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,3,L1_Mu3_JetC52_WdEtaPhi2, 3,1,1,20.23,+/-,0.03,19.58,+/-,0.45,19.58,+/-,0.45,3.22%,+/-,2.15%
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,17.12,+/-,0.03,17.17,+/-,0.42,17.17,+/-,0.42,0.29%,+/-,2.44%
HLT_IsoMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,16.17,+/-,0.03,16.97,+/-,0.42,16.97,+/-,0.42,4.72%,+/-,2.35%
