Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HLT GLOBAL RATE,All_HLT,819.14,±,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v2,EXO,71.90,±,3.05,0.00,±,0.00,7.48,±,1.32,4.42,±,0.38,3.97,±,2.59,0.46,±,0.04,0.38,±,0.04,0.04,±,0.01,0.01,±,0.00,1.66,±,0.03,12.80,±,0.18,0.58,±,0.05,5.91,±,0.24,18.65,±,0.67,11.32,±,0.31,3.09,±,0.21,0.67,±,0.09,0.03,±,0.02,0.04,±,0.02,0.14,±,0.02,0.14,±,0.02,0.09,±,0.02,0.04,±,0.01
50,HLT_QuadJet45_DoubleBTagCSV0p67_v3,HIG,58.49,±,1.49,0.00,±,0.00,6.78,±,1.26,2.97,±,0.31,0.79,±,0.08,0.28,±,0.03,0.28,±,0.03,0.03,±,0.01,0.01,±,0.00,1.67,±,0.03,13.16,±,0.18,1.30,±,0.08,7.57,±,0.27,13.97,±,0.58,7.02,±,0.24,1.82,±,0.16,0.38,±,0.07,0.03,±,0.02,0.08,±,0.02,0.16,±,0.02,0.11,±,0.02,0.06,±,0.02,0.01,±,0.01
1,HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v1,HIG,42.88,±,2.67,0.00,±,0.00,0.94,±,0.47,0.26,±,0.09,2.73,±,2.59,0.03,±,0.01,0.51,±,0.04,0.05,±,0.01,0.01,±,0.00,0.25,±,0.01,2.31,±,0.07,0.12,±,0.02,0.30,±,0.05,0.84,±,0.14,0.64,±,0.07,0.49,±,0.08,0.14,±,0.04,1.61,±,0.15,7.08,±,0.20,12.83,±,0.20,8.10,±,0.18,2.85,±,0.10,0.81,±,0.06
1,HLT_HT750_DisplacedDijet80_Inclusive_v2,EXO,39.60,±,3.89,0.00,±,0.00,5.14,±,1.10,2.94,±,0.31,6.13,±,3.67,0.17,±,0.03,0.09,±,0.02,0.01,±,0.00,0.00,±,0.00,0.06,±,0.01,0.47,±,0.03,1.61,±,0.09,7.06,±,0.26,10.70,±,0.51,3.88,±,0.18,0.86,±,0.11,0.12,±,0.04,0.01,±,0.01,0.05,±,0.02,0.14,±,0.02,0.11,±,0.02,0.03,±,0.01,0.01,±,0.01
0,HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v2,SUSY,38.31,±,0.75,0.00,±,0.00,1.40,±,0.57,1.23,±,0.20,0.20,±,0.04,0.10,±,0.02,0.28,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.02,0.25,±,0.05,1.30,±,0.18,1.24,±,0.10,0.49,±,0.08,0.15,±,0.04,1.38,±,0.14,5.05,±,0.17,13.50,±,0.20,8.38,±,0.19,2.62,±,0.10,0.64,±,0.06
1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3,"HIG,TOP,SMP",35.53,±,3.71,0.00,±,0.00,0.70,±,0.40,0.71,±,0.15,7.09,±,3.67,1.14,±,0.07,3.92,±,0.12,0.45,±,0.02,0.05,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.02,±,0.01,0.07,±,0.04,0.42,±,0.06,1.49,±,0.14,1.45,±,0.13,0.01,±,0.01,0.02,±,0.01,0.03,±,0.01,1.62,±,0.08,9.67,±,0.19,6.64,±,0.18
125,HLT_Photon50_R9Id90_HE10_IsoM_v3,"SMP,SUSY",34.05,±,0.42,0.00,±,0.00,0.23,±,0.23,0.10,±,0.06,0.01,±,0.01,0.01,±,0.01,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,2.27,±,0.04,18.35,±,0.21,0.16,±,0.03,0.53,±,0.07,0.58,±,0.12,0.35,±,0.05,0.01,±,0.01,0.00,±,0.00,0.59,±,0.09,3.12,±,0.13,5.20,±,0.13,2.01,±,0.09,0.41,±,0.04,0.08,±,0.02
1,HLT_PFMET170_JetIdCleaned_v2,"SUSY,EXO,B2G",25.38,±,0.81,0.00,±,0.00,1.87,±,0.66,0.87,±,0.17,0.31,±,0.05,0.11,±,0.02,0.13,±,0.02,0.01,±,0.00,0.00,±,0.00,1.38,±,0.03,10.30,±,0.16,0.14,±,0.03,1.36,±,0.12,4.72,±,0.34,3.09,±,0.16,0.78,±,0.10,0.16,±,0.04,0.00,±,0.00,0.01,±,0.01,0.05,±,0.01,0.06,±,0.02,0.02,±,0.01,0.00,±,0.00
700,HLT_Mu24_eta2p1_v2,"SMP,EXO",17.81,±,0.52,0.00,±,0.00,0.70,±,0.40,0.10,±,0.06,0.01,±,0.01,0.01,±,0.01,0.07,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.06,±,0.02,0.17,±,0.06,0.12,±,0.03,0.04,±,0.02,0.01,±,0.01,3.02,±,0.20,5.45,±,0.18,5.39,±,0.13,2.04,±,0.09,0.49,±,0.04,0.12,±,0.02
100,HLT_L2Mu10_NoVertex_NoBPTX_v2,EXO,12.59,±,0.64,0.00,±,0.00,1.17,±,0.52,0.90,±,0.17,0.54,±,0.07,0.21,±,0.03,0.19,±,0.03,0.02,±,0.01,0.00,±,0.00,1.10,±,0.03,1.72,±,0.06,0.00,±,0.00,0.25,±,0.05,1.88,±,0.21,2.96,±,0.16,1.25,±,0.13,0.30,±,0.06,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.02,±,0.01,0.02,±,0.01,0.01,±,0.01
1,HLT_BTagMu_DiJet40_Mu5_v2,BTV,12.08,±,0.50,0.00,±,0.00,0.70,±,0.40,0.06,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.05,±,0.03,0.08,±,0.03,0.04,±,0.02,0.00,±,0.00,3.19,±,0.21,4.36,±,0.16,2.60,±,0.09,0.80,±,0.06,0.14,±,0.02,0.02,±,0.01
