Path,L1Path,L1Prescale(1e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(1e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_ZeroBias,L1_ZeroBias,293,L1_ZeroBias, 2500,200,200,95.16,+/-,0.11,19151.66,+/-,16.54,95.76,+/-,0.08,0.62%,+/-,0.14%
HLT_DoubleMu3_Mass10,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,87.50,+/-,0.11,87.02,+/-,1.12,87.02,+/-,1.12,0.55%,+/-,1.27%
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|2|1|1,1,1,75.39,+/-,0.10,77.33,+/-,1.05,77.33,+/-,1.05,2.52%,+/-,1.33%
HLT_Ele17_CaloIdL_TrackIdL_IsoVL,L1_SingleEG15,2,L1_SingleEG15, 2,11,11,62.00,+/-,0.09,688.80,+/-,3.14,62.62,+/-,0.29,0.99%,+/-,0.47%
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,1,L1_Mu3_JetC52_WdEtaPhi2, 1,1,1,54.78,+/-,0.08,53.84,+/-,0.88,53.84,+/-,0.88,1.72%,+/-,1.58%
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 2|1|1,1,1,50.52,+/-,0.08,51.93,+/-,0.86,51.93,+/-,0.86,2.71%,+/-,1.62%
HLT_DiPFJetAve40,L1_ZeroBias,293,L1_ZeroBias, 2500,3,3,49.92,+/-,0.08,148.45,+/-,1.46,49.48,+/-,0.49,0.87%,+/-,0.98%
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 2|1|1,1,1,47.15,+/-,0.08,48.24,+/-,0.83,48.24,+/-,0.83,2.26%,+/-,1.69%
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_WdEtaPhi2,25,L1_Mu3_JetC16_WdEtaPhi2, 25,1,1,45.25,+/-,0.08,44.30,+/-,0.80,44.30,+/-,0.80,2.10%,+/-,1.73%
HLT_Mu17,L1_SingleMu12,5,L1_SingleMu12, 5,1,1,41.76,+/-,0.07,41.48,+/-,0.77,41.48,+/-,0.77,0.67%,+/-,1.84%
