Path,Group,Dataset,L1Path,L1Prescale(1.15e34),Steam L1path,Steam L1Prescale,WBM hltPrescale(1.15e34),Steam hltPrescale,Wbm Count,Wbm prescaled Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
DST_Physics,null,null,,,, ,10,-1,42102972,112424,0,7921.88,+/-,1.22,0.00,+/-,0.00,7921.88000,100.00%,+/-,0.02%,No rates in Steam
AlCa_EcalPi0EEonly,null,null,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||60000||9000||2000||4000||2500||350||0||0||1||1||1||1||1||1||0||0||0||0||0||0||1||1||1||1||0||0||0||0||0||1||1||1||1||0||0||0||0||1||0||0||1||1|| 0||0||3500||1200||1||1500||150||0||0||1||1||1||1||0||0||0||0||1||1||1||1||0||1||0||1||1||40000||10000||0||0||0||0||0||1||1||7000,, ,2,-1,27892128,74478,0,5248.04,+/-,0.99,0.00,+/-,0.00,5248.04000,100.00%,+/-,0.02%,No rates in Steam
AlCa_EcalPi0EBonly,null,null,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||60000||9000||2000||4000||2500||350||0||0||1||1||1||1||1||1||0||0||0||0||0||0||1||1||1||1||0||0||0||0||0||1||1||1||1||0||0||0||0||1||0||0||1||1|| 0||0||3500||1200||1||1500||150||0||0||1||1||1||1||0||0||0||0||1||1||1||1||0||1||0||1||1||40000||10000||0||0||0||0||0||1||1||7000,, ,8,-1,24465943,65329,0,4603.38,+/-,0.93,0.00,+/-,0.00,4603.38000,100.00%,+/-,0.02%,No rates in Steam
DST_HT250_CaloScouting,null,null,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,, ,1,-1,19837785,52971,0,3732.57,+/-,0.84,0.00,+/-,0.00,3732.57000,100.00%,+/-,0.02%,No rates in Steam
DST_HT250_CaloBTagScouting,null,null,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,, ,1,-1,19798447,52866,0,3725.17,+/-,0.84,0.00,+/-,0.00,3725.17000,100.00%,+/-,0.02%,No rates in Steam
AlCa_EcalEtaEBonly,null,null,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||60000||9000||2000||4000||2500||350||0||0||1||1||1||1||1||1||0||0||0||0||0||0||1||1||1||1||0||0||0||0||0||1||1||1||1||0||0||0||0||1||0||0||1||1|| 0||0||3500||1200||1||1500||150||0||0||1||1||1||1||0||0||0||0||1||1||1||1||0||1||0||1||1||40000||10000||0||0||0||0||0||1||1||7000,, ,6,-1,19369906,51722,0,3644.54,+/-,0.83,0.00,+/-,0.00,3644.54000,100.00%,+/-,0.02%,No rates in Steam
AlCa_EcalEtaEEonly,null,null,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||60000||9000||2000||4000||2500||350||0||0||1||1||1||1||1||1||0||0||0||0||0||0||1||1||1||1||0||0||0||0||0||1||1||1||1||0||0||0||0||1||0||0||1||1|| 0||0||3500||1200||1||1500||150||0||0||1||1||1||1||0||0||0||0||1||1||1||1||0||1||0||1||1||40000||10000||0||0||0||0||0||1||1||7000,, ,2,-1,10247380,27362,0,1928.09,+/-,0.60,0.00,+/-,0.00,1928.09000,100.00%,+/-,0.03%,No rates in Steam
AlCa_LumiPixels_ZeroBias,null,null,L1_ZeroBias,15923,, ,1,-1,7956059,21244,0,1496.97,+/-,0.53,0.00,+/-,0.00,1496.97000,100.00%,+/-,0.04%,No rates in Steam
AlCa_EcalPhiSym,null,null,L1_ZeroBias||L1_AlwaysTrue||L1_IsolatedBunch,15923||0||11,, ,1,-1,7956048,21244,0,1496.97,+/-,0.53,0.00,+/-,0.00,1496.97000,100.00%,+/-,0.04%,No rates in Steam
AlCa_RPCMuonNoHits,null,null,L1_SingleMu5||L1_SingleMu14er||L1_SingleMu16er||L1_SingleMu18er||L1_SingleMu20er,0||0||120||0||1,, ,3,-1,4329659,11561,0,814.65,+/-,0.39,0.00,+/-,0.00,814.65000,100.00%,+/-,0.05%,No rates in Steam
