Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_DiPFJetAve220_HFJEC,"FSQ,JME","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,2,2,15745,52,2.96000,+/-,0.02359,1.83210,+/-,0.25407,1.12790,38.10%,+/-,5.37%,4.43941808334
HLT_Mu6_PFHT200_PFMET100,"JME","OnlineMonitor,MET",L1_Mu6_HTT200,1,L1_Mu6_HTT200,1,1,1,12421,30,2.34000,+/-,0.02100,2.11396,+/-,0.38595,0.22604,9.66%,+/-,14.93%,0.585676147521
HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350,"Higgs,Analysis","OnlineMonitor,BTagCSV",L1_DoubleJetC100,1,L1_DoubleJetC100,1,8,8,6743,15,1.27000,+/-,0.01547,0.13212,+/-,0.03411,1.13788,89.60%,+/-,1.25%,33.3553313926
HLT_HT430to450,"EXO","OnlineMonitor,ParkingHT430to450,ParkingScoutingMonitor",L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||1||1||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||1||1||1,1,1,528520,1364,99.44000,+/-,0.13678,96.11454,+/-,2.60245,3.32546,3.34%,+/-,2.53%,1.27782216712
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,"null","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1||0||1||1||1||1||1||1||1||0,1,1,106435,271,20.03000,+/-,0.06140,19.09607,+/-,1.16000,0.93393,4.66%,+/-,5.53%,0.805109764032
HLT_Ele23_WPLoose_Gsf,"SMP,Top,Higgs ","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
AlCa_EcalEtaEEonly,"SMP,Top,Higgs ","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu20_Mu10_DZ,"Higgs","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,26,26,3415,13,0.64000,+/-,0.01095,0.03523,+/-,0.00977,0.60477,94.49%,+/-,1.71%,55.2209344823
HLT_BTagMu_DiJet20_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,300,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,400,6,6,20428,56,3.84000,+/-,0.02687,0.65768,+/-,0.08789,3.18232,82.87%,+/-,0.80%,36.2098758726
HLT_Mu27_TkMu8,"EXO","OnlineMonitor,DoubleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,52,52,1853,1,0.35000,+/-,0.00813,0.00136,+/-,0.00136,0.34864,99.61%,+/-,2.32%,42.8798227985
HLT_HT250_DisplacedDijet40_DisplacedTrack,"EXO","OnlineMonitor,DisplacedJet",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,19,19,3778,7,0.71000,+/-,0.01155,0.02596,+/-,0.00981,0.68404,96.34%,+/-,1.63%,59.2179784895
HLT_Mu55,"EXO","OnlineMonitor,SingleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,84286,221,15.86000,+/-,0.05463,15.57281,+/-,1.04754,0.28719,1.81%,+/-,6.49%,0.274156787079
DST_HT450_PFScouting,"EXO","OnlineMonitor,SingleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,84286,221,15.86000,+/-,0.05463,15.57281,+/-,1.04754,0.28719,1.81%,+/-,6.49%,0.274156787079
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL,"MUO","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,1,1,123451,313,23.23000,+/-,0.06612,22.05561,+/-,1.24666,1.17439,5.06%,+/-,5.10%,0.942033018484
HLT_PixelTracks_Multiplicity110ForEndOfFill,"FSQ,HIN","OnlineMonitor,HighMultiplicityEOF",L1_ETT35_BptxAND,0,L1_ETT35_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60,"null","OnlineMonitor,SingleMuon",L1_Mu6_HTT200,1,L1_Mu6_HTT200,1,1,1,1994,1,0.38000,+/-,0.00851,0.07047,+/-,0.07047,0.30953,81.46%,+/-,4.10%,4.39273271028
AlCa_RPCMuonNormalisation,"null","OnlineMonitor,SingleMuon",L1_Mu6_HTT200,1,L1_Mu6_HTT200,1,1,1,1994,1,0.38000,+/-,0.00851,0.07047,+/-,0.07047,0.30953,81.46%,+/-,4.10%,4.39273271028
HLT_DiPFJetAve200,"JME","OnlineMonitor,JetHT",L1_SingleJet120,42,L1_SingleJet120,100,12,12,3260,7,0.61000,+/-,0.01068,0.04110,+/-,0.01554,0.56890,93.26%,+/-,1.76%,36.6175994233
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,"HIG","OnlineMonitor,MuonEG",L1_Mu12_EG10,0,L1_Mu12_EG10,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX,"EXO","OnlineMonitor,NoBPTX",L1_SingleMuOpen_NotBptxOR_3BX,1,L1_SingleMuOpen_NotBptx||_3BX,0||_3BX,1,1,37809,105,7.11000,+/-,0.03657,7.39885,+/-,0.72205,0.28885,3.90%,+/-,9.39%,0.400034391105
HLT_MET200,"Exotica ","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||100||0||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||150||0||1||1||1||1,1,1,23825,59,4.48000,+/-,0.02902,4.15745,+/-,0.54125,0.32255,7.20%,+/-,11.23%,0.595937184914
HLT_Dimuon13_Upsilon,"BPH","OnlineMonitor,MuOnia",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1||1,1,1,49107,137,9.24000,+/-,0.04170,9.65373,+/-,0.82477,0.41373,4.29%,+/-,8.19%,0.501631547479
HLT_QuadJet45_TripleBTagCSV_p087,"HIG ,Hbb","OnlineMonitor,BTagCSV",L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,1,1,126412,316,23.79000,+/-,0.06691,22.26700,+/-,1.25262,1.52300,6.40%,+/-,4.94%,1.21585158086
