Path,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_DiPFJetAve220_HFJEC,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,3,3,15745,15745,2.96000,+/-,0.02359,2.96000,+/-,0.02359,0.00000,0.00%,+/-,1.13%,0.0
HLT_Mu6_PFHT200_PFMET100,L1_Mu6_HTT200,1,L1_Mu6_HTT200,1,1,1,12421,12421,2.34000,+/-,0.02100,2.34000,+/-,0.02100,0.00000,0.00%,+/-,1.27%,0.0
HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350,L1_DoubleJetC100,0,L1_DoubleJetC100,0,16,16,6743,6743,1.27000,+/-,0.01547,1.27000,+/-,0.01547,0.00000,0.00%,+/-,1.72%,0.0
HLT_HT430to450,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,1,1,528520,528520,99.44000,+/-,0.13678,99.44000,+/-,0.13678,0.00000,0.00%,+/-,0.19%,0.0
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,1,1,106435,106435,20.03000,+/-,0.06140,20.03000,+/-,0.06140,0.00000,0.00%,+/-,0.43%,0.0
HLT_Ele23_WPLoose_Gsf,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
AlCa_EcalEtaEEonly,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||80000||80000||3000||8000||5000||500||0||0||0||0||1||1||1||1||0||0||0||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1|| 0||0||5000||2000||0||3000||300||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||1||0||1||1||60000||20000||0||0||0||0||0||1||1||8000,L1_AlwaysTrue||L1_IsolatedBunch||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_23_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_DoubleEG_25_12|| L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220,0||11||80000||80000||3000||8000||5000||500||0||0||0||0||1||1||1||1||0||0||0||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1|| 0||0||5000||2000||0||3000||300||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||1||0||1||1||60000||20000||0||0||0||0||0||1||1||8000,3,3,10247380,10247380,1928.09000,+/-,0.60231,1928.09000,+/-,0.60231,0.00000,0.00%,+/-,0.04%,0.0
HLT_Mu20_Mu10_DZ,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,42,42,3415,3415,0.64000,+/-,0.01095,0.64000,+/-,0.01095,0.00000,0.00%,+/-,2.42%,0.0
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,430,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,430,7,7,20428,20428,3.84000,+/-,0.02687,3.84000,+/-,0.02687,0.00000,0.00%,+/-,0.99%,0.0
HLT_Mu27_TkMu8,L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,83,83,1853,1853,0.35000,+/-,0.00813,0.35000,+/-,0.00813,0.00000,0.00%,+/-,3.29%,0.0
