Path	Group	Dataset	WBM hltPrescale(9.5e33)	Steam hltPrescale	Wbm Count	Steam Count	Data Rate (Hz)			Steam Rate (Hz)			abs(Data-Steam)(Hz)	Bias : (data-steam)/max(data;steam)			Pull	
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55	null	OnlineMonitor,DoubleEG	1000	1000	71	190	0.01	+/-	0	0.01	+/-	0	0.00333	24.98%	+/-	10.43%	3.44	High bias (bias >20%, Pull>2)
HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded	EGM	OnlineMonitor,SingleElectron	1	1	12170	21	2.28	+/-	0.02	1.47	+/-	0.32	0.80669	35.38%	+/-	9.16%	2.51	High bias (bias >20%, Pull>2)
HLT_Ele27_HighEta_Ele20_Mass55	ECAL DPG	OnlineMonitor,DoubleEG	1	1	10657	18	2	+/-	0.02	1.26	+/-	0.3	0.73717	36.86%	+/-	9.45%	2.48	High bias (bias >20%, Pull>2)
HLT_Ele15_IsoVVVL_PFHT600	SUS	OnlineMonitor,SingleElectron	1	1	5620	8	1.05	+/-	0.01	0.56	+/-	0.2	0.48874	46.55%	+/-	10.19%	2.46	High bias (bias >20%, Pull>2)
HLT_Ele15_IsoVVVL_PFHT400	SUS	OnlineMonitor,SingleElectron	1	1	27587	56	5.17	+/-	0.03	3.93	+/-	0.53	1.24118	24.01%	+/-	7.74%	2.36	High bias (bias >20%, Pull>2)
HLT_Mu3_PFJet40	null	OnlineMonitor,DoubleMuon	1	1	7506	12	1.41	+/-	0.02	0.84	+/-	0.24	0.56811	40.29%	+/-	10.36%	2.34	High bias (bias >20%, Pull>2)
HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400	SUS	OnlineMonitor,SingleElectron	10	10	1527	29	0.29	+/-	0.01	0.2	+/-	0.04	0.08654	29.84%	+/-	9.49%	2.29	High bias (bias >20%, Pull>2)
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30	SUS	OnlineMonitor,DoubleEG	6	6	5960	76	1.12	+/-	0.01	0.89	+/-	0.1	0.23134	20.66%	+/-	7.34%	2.27	High bias (bias >20%, Pull>2)
HLT_Ele15_IsoVVVL_PFHT400_PFMET50	SUS	OnlineMonitor,SingleElectron	1	1	7690	13	1.44	+/-	0.02	0.91	+/-	0.25	0.52795	36.66%	+/-	11.18%	2.09	High bias (bias >20%, Pull>2)
HLT_Mu7p5_L2Mu2_Upsilon	BPH	OnlineMonitor,MuOnia	1	1	3949	6	0.74	+/-	0.01	0.42	+/-	0.17	0.31906	43.12%	+/-	13.31%	1.86	Pull looks fine (bias >20%, Pull <2)
