Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
1,HLT_L1FatEvents_part1_v1,HLTPhysics1,null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_Physics_v4,"OnlineMonitor,ExpressPhysics,HLTPhysics",null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_L1FatEvents_v1,"OnlineMonitor,ExpressPhysics,HLTPhysics",null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_L1FatEvents_part3_v1,HLTPhysics3,null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_L1FatEvents_part2_v1,HLTPhysics2,null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_L1FatEvents_part0_v1,HLTPhysics0,null,72400.55,+/-,75.51,76122.44,+/-,109.50,68678.65,+/-,104.01
1,HLT_IsoMu22_eta2p1_v2,"OnlineMonitor,SingleMuon","TAU,HIG",138.45,+/-,3.30,148.06,+/-,4.83,128.84,+/-,4.50
1,HLT_IsoMu24_v2,"OnlineMonitor,ExpressPhysics,SingleMuon","SMP,Top,HIG,MUO",130.26,+/-,3.20,142.39,+/-,4.74,118.13,+/-,4.31
1,HLT_Ele27_eta2p1_WPLoose_Gsf_v7,"OnlineMonitor,HLTMonitor,SingleElectron",EGM,129.47,+/-,3.19,135.30,+/-,4.62,123.65,+/-,4.41
1,HLT_IsoTkMu22_eta2p1_v3,"OnlineMonitor,SingleMuon","SMP,MUO",125.14,+/-,3.14,133.41,+/-,4.58,116.87,+/-,4.29
1,HLT_HT500to550_v3,"OnlineMonitor,ParkingHT500to550,ParkingScoutingMonitor",EXO,123.41,+/-,3.12,132.47,+/-,4.57,114.35,+/-,4.24
1,HLT_HT550to650_v3,"OnlineMonitor,ParkingHT550to650,ParkingScoutingMonitor",EXO,123.41,+/-,3.12,129.79,+/-,4.52,117.03,+/-,4.29
1,HLT_IsoTkMu24_v3,"OnlineMonitor,SingleMuon","SMP,MUO",120.02,+/-,3.07,129.16,+/-,4.51,110.89,+/-,4.18
1,HLT_HT430to450_v3,"OnlineMonitor,ParkingHT430to450,ParkingScoutingMonitor",EXO,119.16,+/-,3.06,123.33,+/-,4.41,114.98,+/-,4.26
1,HLT_Ele27_WPTight_Gsf_v6,"OnlineMonitor,HLTMonitor,SingleElectron",EGM,109.00,+/-,2.93,113.41,+/-,4.23,104.59,+/-,4.06
1,HLT_IsoMu27_v5,"OnlineMonitor,SingleMuon",SMP,107.42,+/-,2.91,118.45,+/-,4.32,96.40,+/-,3.90
1,HLT_HT470to500_v3,"OnlineMonitor,ParkingHT470to500,ParkingScoutingMonitor",EXO,105.93,+/-,2.89,111.04,+/-,4.18,100.81,+/-,3.98
1,HLT_HT650_v4,"OnlineMonitor,ParkingHT650,ParkingScoutingMonitor",EXO,103.72,+/-,2.86,110.10,+/-,4.16,97.34,+/-,3.92
1,HLT_HT450to470_v3,"OnlineMonitor,ParkingHT450to470,ParkingScoutingMonitor",EXO,101.12,+/-,2.82,104.43,+/-,4.06,97.81,+/-,3.93
1,HLT_IsoTkMu27_v6,"OnlineMonitor,SingleMuon",SMP,99.55,+/-,2.80,109.00,+/-,4.14,90.10,+/-,3.77
1,HLT_Ele25_eta2p1_WPTight_Gsf_v6,"OnlineMonitor,SingleElectron",EGM,91.12,+/-,2.68,95.92,+/-,3.89,86.32,+/-,3.69
1,HLT_Ele27_eta2p1_WPTight_Gsf_v7,"OnlineMonitor,SingleElectron",EGM,89.39,+/-,2.65,93.88,+/-,3.85,84.90,+/-,3.66
1,HLT_Ele32_eta2p1_WPTight_Gsf_v7,"OnlineMonitor,SingleElectron",EGM,74.82,+/-,2.43,80.17,+/-,3.55,69.46,+/-,3.31
1,HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v5,"OnlineMonitor,Tau","TAU,HIG,EXO",66.00,+/-,2.28,70.88,+/-,3.34,61.11,+/-,3.10
1,HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v7,"OnlineMonitor,Tau","TAU,HIG,EXO",52.21,+/-,2.03,56.86,+/-,2.99,47.57,+/-,2.74
1,HLT_Ele45_WPLoose_Gsf_v6,"OnlineMonitor,SingleElectron",EGM,49.54,+/-,1.98,52.29,+/-,2.87,46.78,+/-,2.71
1,HLT_Rsq0p02_MR400_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v1,"OnlineMonitor,BTagCSV",SUS,37.80,+/-,1.73,39.38,+/-,2.49,36.23,+/-,2.39
1,HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v3,"OnlineMonitor,BTagCSV","HIG,Hbb",37.64,+/-,1.72,40.80,+/-,2.53,34.49,+/-,2.33
1,HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v5,"OnlineMonitor,DoubleMuonLowMass",BPH,36.54,+/-,1.70,36.38,+/-,2.39,36.70,+/-,2.40
