Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_DiPFJetAve220_HFJEC,1.420000,+/-,0.024443,1.538634,+/-,0.026485,0.000000,+/-,0.000000,1.538634,+/-,0.026485,999.000000,+/-,0.000000
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,3.300000,+/-,0.037253,3.575699,+/-,0.040365,0.000000,+/-,0.000000,3.575699,+/-,0.040365,999.000000,+/-,0.000000
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460,1.610000,+/-,0.026042,1.744508,+/-,0.028218,0.000000,+/-,0.000000,1.744508,+/-,0.028218,999.000000,+/-,0.000000
HLT_Ele23_WPLoose_Gsf,80.490000,+/-,0.183995,87.214540,+/-,0.199366,0.000000,+/-,0.000000,87.214540,+/-,0.199366,999.000000,+/-,0.000000
AlCa_EcalEtaEEonly,949.390000,+/-,0.631898,1028.706826,+/-,0.684690,0.000000,+/-,0.000000,1028.706826,+/-,0.684690,999.000000,+/-,0.000000
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,3.290000,+/-,0.037214,3.564863,+/-,0.040323,0.000000,+/-,0.000000,3.564863,+/-,0.040323,999.000000,+/-,0.000000
HLT_Mu20_Mu10_DZ,0.540000,+/-,0.015047,0.585114,+/-,0.016304,0.000000,+/-,0.000000,0.585114,+/-,0.016304,999.000000,+/-,0.000000
AlCa_RPCMuonNoTriggers,687.400000,+/-,0.537687,744.828861,+/-,0.582608,0.000000,+/-,0.000000,744.828861,+/-,0.582608,999.000000,+/-,0.000000
HLT_IsoMu24_eta2p1_TriCentralPFJet50_40_30,0.320000,+/-,0.011631,0.346734,+/-,0.012602,0.000000,+/-,0.000000,0.346734,+/-,0.012602,999.000000,+/-,0.000000
HLT_HT250_DisplacedDijet40_DisplacedTrack,0.840000,+/-,0.018816,0.910178,+/-,0.020388,0.000000,+/-,0.000000,0.910178,+/-,0.020388,999.000000,+/-,0.000000
HLT_Mu55,3.590000,+/-,0.038866,3.889927,+/-,0.042113,0.000000,+/-,0.000000,3.889927,+/-,0.042113,999.000000,+/-,0.000000
HLT_Mu50,5.340000,+/-,0.047398,5.786131,+/-,0.051358,0.000000,+/-,0.000000,5.786131,+/-,0.051358,999.000000,+/-,0.000000
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL,0.250000,+/-,0.010198,0.270886,+/-,0.011050,0.000000,+/-,0.000000,0.270886,+/-,0.011050,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity110ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
AlCa_RPCMuonNormalisation,484.390000,+/-,0.451358,524.858382,+/-,0.489067,0.000000,+/-,0.000000,524.858382,+/-,0.489067,999.000000,+/-,0.000000
HLT_DiPFJetAve200,1.820000,+/-,0.027652,1.972052,+/-,0.029962,0.000000,+/-,0.000000,1.972052,+/-,0.029962,999.000000,+/-,0.000000
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,1.050000,+/-,0.020966,1.137722,+/-,0.022718,0.000000,+/-,0.000000,1.137722,+/-,0.022718,999.000000,+/-,0.000000
HLT_Ele27_WPLoose_Gsf_TriCentralPFJet50_40_30,1.100000,+/-,0.021552,1.191900,+/-,0.023353,0.000000,+/-,0.000000,1.191900,+/-,0.023353,999.000000,+/-,0.000000
