Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBMhltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1, L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25 , 4 | 1 | 1 | 1 | 1 | 1,1,1,67.49,+/-,0.16,85.62,+/-,0.21,81.26,+/-,0.48,4.36,+/-,0.52,0.05,+/-,0.00
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1, L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25 , 4 | 1 | 1,1,1,45.39,+/-,0.13,57.58,+/-,0.17,54.35,+/-,0.39,3.23,+/-,0.43,0.06,+/-,0.00
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1, L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25 , 4 | 1 | 1,1,1,36.92,+/-,0.12,46.84,+/-,0.15,48.66,+/-,0.37,-1.82,+/-,0.40,-0.04,+/-,0.00
HLT_IsoMu18,L1_SingleMu16,1, L1_SingleMu16 , 1,1,1,29.25,+/-,0.11,37.11,+/-,0.14,41.29,+/-,0.34,-4.18,+/-,0.37,-0.10,+/-,0.00
HLT_Ele27_eta2p1_WPLoose_Gsf,L1_SingleIsoEG22er,1, L1_SingleIsoEG22er OR L1_SingleEG25 , 1 | 1,1,1,28.01,+/-,0.10,35.53,+/-,0.13,33.62,+/-,0.31,1.91,+/-,0.34,0.06,+/-,0.00
HLT_Ele22_eta2p1_WPTight_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1, L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25 , 4 | 1 | 1,1,1,24.62,+/-,0.10,31.23,+/-,0.12,31.98,+/-,0.30,-0.75,+/-,0.32,-0.02,+/-,0.00
HLT_IsoMu20,L1_SingleMu16,1, L1_SingleMu16 , 1,1,1,24.31,+/-,0.10,30.84,+/-,0.12,33.42,+/-,0.30,-2.58,+/-,0.32,-0.08,+/-,0.00
HLT_IsoTkMu20,L1_SingleMu16,1, L1_SingleMu16 , 1,1,1,23.17,+/-,0.10,29.39,+/-,0.12,31.46,+/-,0.30,-2.07,+/-,0.32,-0.07,+/-,0.00
HLT_Ele17_CaloIdL_TrackIdL_IsoVL,L1_SingleEG15,4, L1_SingleEG15 , 4,11,11,22.67,+/-,0.09,28.76,+/-,0.12,27.89,+/-,0.28,0.87,+/-,0.30,0.03,+/-,0.00
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_WdEtaPhi2,50, L1_Mu3_JetC16_WdEtaPhi2 , 50,1,1,21.97,+/-,0.09,27.87,+/-,0.12,26.64,+/-,0.28,1.23,+/-,0.30,0.05,+/-,0.00
HLT_Mu17,L1_SingleMu12,10, L1_SingleMu12 , 10,1,1,21.51,+/-,0.09,27.29,+/-,0.12,25.53,+/-,0.26,1.76,+/-,0.28,0.07,+/-,0.00
HLT_IsoMu22,L1_SingleMu20,1, L1_SingleMu20 , 1,1,1,20.41,+/-,0.09,25.89,+/-,0.11,27.50,+/-,0.28,-1.61,+/-,0.30,-0.06,+/-,0.00
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,3, L1_Mu3_JetC52_WdEtaPhi2 , 3,1,1,18.87,+/-,0.09,23.94,+/-,0.11,22.55,+/-,0.25,1.39,+/-,0.27,0.06,+/-,0.00
HLT_Ele27_eta2p1_WPTight_Gsf,L1_SingleIsoEG22er,1, L1_SingleIsoEG22er OR L1_SingleEG25 , 1 | 1,1,1,18.84,+/-,0.09,23.90,+/-,0.11,22.53,+/-,0.25,1.37,+/-,0.27,0.06,+/-,0.00
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1, L1_SingleMuOpen_NotBptxOR , 1,1,1,16.98,+/-,0.08,21.54,+/-,0.10,18.91,+/-,0.24,2.63,+/-,0.26,0.14,+/-,0.00
HLT_IsoMu27,L1_SingleMu25,1, L1_SingleMu25 , 1,1,1,15.09,+/-,0.08,19.14,+/-,0.10,19.23,+/-,0.24,-0.09,+/-,0.26,-0.00,+/-,0.00
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1, L1_SingleMuOpen_NotBptxOR , 1,1,1,14.90,+/-,0.08,18.90,+/-,0.10,16.53,+/-,0.22,2.37,+/-,0.24,0.14,+/-,0.00
HLT_IsoTkMu27,L1_SingleMu25,1, L1_SingleMu25 , 1,1,1,14.70,+/-,0.08,18.65,+/-,0.10,18.68,+/-,0.23,-0.03,+/-,0.25,-0.00,+/-,0.00
HLT_DiPFJetAve60,L1_ZeroBias,631, L1_ZeroBias , 5000,1,1,14.43,+/-,0.08,18.31,+/-,0.10,17.05,+/-,0.22,1.26,+/-,0.24,0.07,+/-,0.00
HLT_HT550to650,L1_HTT125 OR L1_HTT150,1 | 1, L1_HTT125 OR L1_HTT150 OR L1_HTT175 , 1 | 1 | 1,1,1,14.30,+/-,0.08,18.14,+/-,0.10,17.40,+/-,0.22,0.74,+/-,0.24,0.04,+/-,0.00
HLT_DiPFJetAve40,L1_ZeroBias,631, L1_ZeroBias , 5000,5,5,14.01,+/-,0.07,17.77,+/-,0.09,15.78,+/-,0.22,1.99,+/-,0.24,0.13,+/-,0.00
HLT_HT500to550,L1_HTT125 OR L1_HTT150,1 | 1, L1_HTT125 OR L1_HTT150 OR L1_HTT175 , 1 | 1 | 1,1,1,13.79,+/-,0.07,17.49,+/-,0.09,16.30,+/-,0.22,1.19,+/-,0.24,0.07,+/-,0.00
HLT_HT650,L1_HTT125 OR L1_HTT150,1 | 1, L1_HTT125 OR L1_HTT150 OR L1_HTT175 , 1 | 1 | 1,1,1,13.00,+/-,0.07,16.49,+/-,0.09,15.26,+/-,0.21,1.23,+/-,0.23,0.08,+/-,0.00
HLT_Mu17_TrkIsoVVL,L1_SingleMu12,10, L1_SingleMu12 , 10,1,1,12.94,+/-,0.07,16.42,+/-,0.09,15.54,+/-,0.21,0.88,+/-,0.23,0.06,+/-,0.00
