L1 Path,L1Prescale(2e33),Steam L1Prescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
L1_SingleEG2_BptxAND,1,-1,38163.16,+/-,3.88,40865.34,+/-,11.13,7549.40,+/-,12.17,0.18,+/-,0.00
L1_ZeroBias,631,-1,17534.20,+/-,2.63,11313.32,+/-,5.85,10931.00,+/-,6.73,0.97,+/-,0.00
L1_SingleEG20,1,-1,9156.03,+/-,1.90,9907.34,+/-,5.48,1708.23,+/-,5.99,0.17,+/-,0.00
L1_SingleIsoEG18er,1,-1,8629.75,+/-,1.84,9338.55,+/-,5.32,1609.37,+/-,5.81,0.17,+/-,0.00
L1_SingleIsoEG20,1,-1,6672.93,+/-,1.62,7234.26,+/-,4.68,1231.19,+/-,5.11,0.17,+/-,0.00
L1_HTT75,1,-1,6630.70,+/-,1.62,7251.92,+/-,4.69,1159.95,+/-,5.12,0.16,+/-,0.00
L1_SingleJetC32_NotBptxOR,1,-1,6196.73,+/-,1.56,6632.00,+/-,4.48,1229.33,+/-,4.90,0.19,+/-,0.00
L1_SingleEG15,4,-1,6075.73,+/-,1.55,6557.16,+/-,4.46,1150.66,+/-,4.87,0.18,+/-,0.00
L1_HTT100,1,-1,4552.45,+/-,1.34,4958.06,+/-,3.88,817.29,+/-,4.24,0.16,+/-,0.00
L1_SingleEG25,1,-1,4290.30,+/-,1.30,4663.94,+/-,3.76,778.84,+/-,4.11,0.17,+/-,0.00
L1_SingleIsoEG22er,1,-1,3916.12,+/-,1.24,4262.51,+/-,3.59,705.58,+/-,3.92,0.17,+/-,0.00
L1_ETM50,1,-1,3381.47,+/-,1.15,3773.60,+/-,3.38,516.22,+/-,3.68,0.14,+/-,0.00
L1_SingleJet128,1,-1,2590.01,+/-,1.01,1694.46,+/-,2.27,1591.29,+/-,2.61,0.94,+/-,0.00
L1_HTT125,1,-1,2472.24,+/-,0.99,2687.51,+/-,2.85,448.84,+/-,3.11,0.17,+/-,0.00
L1_SingleMu16,1,-1,2423.33,+/-,0.98,2610.31,+/-,2.81,463.99,+/-,3.07,0.18,+/-,0.00
L1_DoubleMuOpen,1,-1,2318.70,+/-,0.96,2530.99,+/-,2.77,410.57,+/-,3.02,0.16,+/-,0.00
L1_DoubleEG_15_10,1,-1,2308.77,+/-,0.95,2506.16,+/-,2.76,422.80,+/-,3.01,0.17,+/-,0.00
L1_SingleEG30,1,-1,2271.14,+/-,0.95,2489.90,+/-,2.75,391.32,+/-,3.00,0.16,+/-,0.00
L1_DoubleTauJet40er,1,-1,2252.19,+/-,0.94,2423.08,+/-,2.71,434.10,+/-,2.96,0.18,+/-,0.00
L1_SingleIsoEG25er,1,-1,2130.18,+/-,0.92,2339.66,+/-,2.66,362.74,+/-,2.90,0.16,+/-,0.00
L1_DoubleMu0_Eta1p6_WdEta18,1,-1,1765.35,+/-,0.83,1903.12,+/-,2.40,336.45,+/-,2.62,0.18,+/-,0.00
L1_SingleMu16er,1,-1,1734.95,+/-,0.83,1863.27,+/-,2.38,337.73,+/-,2.60,0.18,+/-,0.00
L1_SingleMu20,1,-1,1710.60,+/-,0.82,1846.48,+/-,2.36,323.63,+/-,2.58,0.18,+/-,0.00
L1_DoubleIsoTau28er,1,-1,1697.05,+/-,0.82,1819.37,+/-,2.35,333.55,+/-,2.57,0.18,+/-,0.00
