Path	Group	Primary dataset	Total	ParkingZeroBias0	ParkingZeroBias1	ParkingZeroBias2	ParkingZeroBias3
HLT_L1FatEvents_part1_v1	TSG	HLTPhysics1	291258	73049	72760	72758	72691
HLT_L1FatEvents_part3_v1	TSG	HLTPhysics3	291258	73049	72760	72758	72691
HLT_Physics_v4	TSG	HLTPhysics	291258	73049	72760	72758	72691
HLT_L1FatEvents_v1	TSG	HLTPhysics	291258	73049	72760	72758	72691
HLT_L1FatEvents_part2_v1	TSG	HLTPhysics2	291258	73049	72760	72758	72691
HLT_L1FatEvents_part0_v1	TSG	HLTPhysics0	291258	73049	72760	72758	72691
HLT_Ele27_eta2p1_WPLoose_Gsf_v6	EGM,HIG,TOP,B2G,SUSY,SMP	SingleElectron	167	37	45	39	46
HLT_IsoMu22_v3	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	153	34	31	43	45
HLT_HT410to430_v3	EXO	ParkingHT410to430,ParkingScoutingMonitor	142	35	37	36	34
HLT_IsoMu22_eta2p1_v2	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	140	34	29	39	38
HLT_Ele27_WPTight_Gsf_v5	EGM,HIG,TOP,SUSY,SMP,EXO	SingleElectron	136	31	38	30	37
HLT_IsoTkMu22_v4	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	128	26	25	36	41
HLT_IsoMu24_v2	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	126	25	24	35	42
HLT_Ele25_eta2p1_WPTight_Gsf_v5	EGM,HIG,TOP,SMP	SingleElectron	114	22	32	28	32
HLT_IsoTkMu22_eta2p1_v3	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	114	26	23	30	35
HLT_HT550to650_v3	EXO	ParkingHT550to650,ParkingScoutingMonitor	112	27	27	27	31
HLT_HT470to500_v3	EXO	ParkingHT470to500,ParkingScoutingMonitor	110	28	22	30	30
HLT_IsoTkMu24_v3	SMP,Muon,HIG,B2G,SUSY	SingleMuon	109	20	21	31	37
HLT_Ele27_eta2p1_WPTight_Gsf_v6	EGM,SMP,EXO	SingleElectron	108	20	31	27	30
HLT_IsoMu27_v5	SMP,Muon,HIG,B2G,SUSY	SingleMuon	105	17	23	30	35
HLT_HT430to450_v3	EXO	ParkingHT430to450,ParkingScoutingMonitor	103	24	26	27	26
HLT_HT650_v4	EXO	ParkingHT650,ParkingScoutingMonitor	101	19	25	28	29
HLT_HT500to550_v3	EXO	ParkingHT500to550,ParkingScoutingMonitor	99	25	25	32	17
HLT_IsoTkMu27_v6	SMP,Muon,HIG,B2G,SUSY	SingleMuon	90	15	19	25	31
HLT_Ele32_eta2p1_WPTight_Gsf_v6	EGM,HIG	SingleElectron	86	18	23	21	24
HLT_HT450to470_v3	EXO	ParkingHT450to470,ParkingScoutingMonitor	83	23	21	18	21
HLT_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v3	TAU,HIG,EXO	Tau	80	24	24	20	12
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v4	TAU,HIG,EXO	Tau	70	22	22	15	11
HLT_Ele45_WPLoose_Gsf_v5	EGM,HIG,B2G,SMP	SingleElectron	65	12	22	13	18
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v6	TAU,HIG,EXO	Tau	59	20	19	10	10
HLT_PFHT800_v4	SUSY,B2G,EXO	JetHT	48	11	11	13	13
HLT_Mu45_eta2p1_v4	EXO,SMP,Muon,B2G	SingleMuon	38	8	7	10	13
HLT_VLooseIsoPFTau120_Trk50_eta2p1_v2	TAU	Tau	38	7	10	13	8
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2	B2G	JetHT	37	11	7	8	11
HLT_IsoMu16_eta2p1_MET30_v2	HIG,TAU,EXO	SingleMuon	36	8	9	10	9
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v5	HIG	DoubleEG	33	11	9	7	6
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v4	BPH	DoubleMuonLowMass	31	8	7	8	8
HLT_PFHT900_v3	B2G,EXO	JetHT	31	8	9	7	7
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v3	HIG,Muon,TOP,B2G,SUSY,SMP	DoubleMuon	30	8	5	15	2
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v2	SUSY	BTagCSV	27	4	7	8	8
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v5	B2G	JetHT	27	7	6	4	10
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v5	HIG,SMP	DoubleEG	27	9	8	4	6
HLT_AK8PFJet450_v1	SMP	JetHT	26	8	5	7	6
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v5	HIG,SMP	DoubleEG	26	7	9	4	6
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v5	HIG,SMP	DoubleEG	26	6	5	6	9
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v6	EXO	DoubleEG	25	7	6	4	8
HLT_Ele105_CaloIdVT_GsfTrkIdT_v7	EXO,B2G	SingleElectron	24	4	10	4	6
HLT_PFHT750_4JetPt50_v5	EXO	JetHT	24	4	7	6	7
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140_v4	B2G	SingleElectron	23	6	8	3	6
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v3	EXO	DisplacedJet	22	2	7	9	4
HLT_Mu50_v4	EXO,SMP,B2G,Muon	SingleMuon	22	5	3	8	6
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	SingleElectron	21	3	10	4	4
