Prescale	Path	Dataset	Group		Total	HLTPhysics0	HLTPhysics1	
-1	TotalEvents				1100918.0	538883.0	562035.0
-1	HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v4	EXO	OnlineMonitor,DisplacedJet		6.0	3.0	3.0
-1	HLT_DoubleMu23NoFiltersNoVtxDisplaced_v3	EXO	OnlineMonitor,DoubleMuon		16.0	9.0	7.0
-1	HLT_HcalCalibration_v2	null	TestEnablesEcalHcal,TestEnablesEcalHcalDQM		0.0	0.0	0.0
-1	HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v5	TAU,HIG,EXO	OnlineMonitor,Tau		761.0	387.0	374.0
-1	HLT_AK8PFJet140_v2	SMP	OnlineMonitor,JetHT		19.0	8.0	11.0
-1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v3	EXO	OnlineMonitor,SingleMuon		0.0	0.0	0.0
-1	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7	HIG	OnlineMonitor,SinglePhoton		3.0	3.0	0.0
-1	HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v3	BPH	OnlineMonitor,Charmonium		10.0	5.0	5.0
-1	HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v6	EXO	OnlineMonitor,JetHT		129.0	61.0	68.0
-1	HLT_HT500to550_v3	EXO	OnlineMonitor,ParkingHT500to550,ParkingScoutingMonitor		1399.0	650.0	749.0
-1	HLT_Ele15_IsoVVVL_PFHT400_v4	SUS	OnlineMonitor,SingleElectron		71.0	35.0	36.0
-1	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v3	EXO	OnlineMonitor,SingleMuon		21.0	8.0	13.0
-1	HLT_Photon30_v6	SMP	OnlineMonitor,SinglePhoton		8.0	5.0	3.0
-1	HLT_L1FatEvents_part1_v1	null	HLTPhysics1		157277.0	76978.0	80299.0
-1	HLT_Mu300_v2	EXO	OnlineMonitor,ExpressPhysics,SingleMuon		3.0	2.0	1.0
-1	HLT_Mu55_v3	EXO	OnlineMonitor,SingleMuon		221.0	100.0	121.0
-1	HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v5	EXO,SUS	OnlineMonitor,MET		152.0	80.0	72.0
-1	HLT_HT500_DisplacedDijet40_Inclusive_v4	EXO	OnlineMonitor,DisplacedJet		0.0	0.0	0.0
-1	HLT_Mu20_Mu10_v3	Higgs	OnlineMonitor,DoubleMuon		15.0	10.0	5.0
-1	HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v3	Higgs,Analysis	OnlineMonitor,BTagCSV		110.0	50.0	60.0
-1	HLT_Photon30_R9Id90_HE10_IsoM_v7	SMP,SUS	OnlineMonitor,SinglePhoton		15.0	12.0	3.0
-1	HLT_Mu17_Photon22_CaloIdL_L1ISO_v4	HIG	OnlineMonitor,MuonEG		0.0	0.0	0.0
-1	HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v3	HIG	OnlineMonitor,HTMHT		1.0	0.0	1.0
-1	HLT_DiPFJet15_NoCaloMatched_v3	FSQ	OnlineMonitor,FSQJets		0.0	0.0	0.0
-1	HLT_Mu17_v3	SUS	OnlineMonitor,DoubleMuon		32.0	12.0	20.0
-1	HLT_DoublePhoton85_v7	Egamma,EXO	OnlineMonitor,EventDisplay,DoubleEG		13.0	6.0	7.0
-1	HLT_FullTracks_Multiplicity100_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF		0.0	0.0	0.0
-1	HLT_HT425_v3	EXO	OnlineMonitor,DisplacedJet		17.0	10.0	7.0
-1	HLT_PFJet400_v7	SMP	OnlineMonitor,JetHT		31.0	14.0	17.0
-1	HLT_Ele115_CaloIdVT_GsfTrkIdT_v6	EXO	OnlineMonitor,SingleElectron		190.0	96.0	94.0
-1	HLT_PFJet260_v7	JetMET	OnlineMonitor,JetHT		23.0	14.0	9.0
-1	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7	HIG	OnlineMonitor,SinglePhoton		13.0	7.0	6.0
-1	HLT_Mu17_TkMu8_DZ_v3	MUO	OnlineMonitor,DoubleMuon		12.0	7.0	5.0
-1	HLT_Photon36_R9Id90_HE10_IsoM_v7	SMP,SUS	OnlineMonitor,SinglePhoton		39.0	20.0	19.0
-1	HLT_AK4PFJet100_v5	HIN	OnlineMonitor,EventDisplay,HINPFJets		0.0	0.0	0.0
-1	HLT_Ele27_eta2p1_WPLoose_Gsf_v7	EGM	OnlineMonitor,HLTMonitor,SingleElectron		1715.0	849.0	866.0
-1	HLT_Photon50_R9Id90_HE10_IsoM_v7	SMP,SUS	OnlineMonitor,SinglePhoton		17.0	10.0	7.0
-1	HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau29_v1	Tau,HIG,EXO	OnlineMonitor,SingleElectron		114.0	63.0	51.0
-1	HLT_PFHT200_PFAlphaT0p51_v5	null	OnlineMonitor,HTMHT		24.0	13.0	11.0
-1	HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v3	EXO	OnlineMonitor,SingleMuon		3.0	3.0	0.0
